
2026-04-28 08:52:27 [1/33] Using 32 available CPUs: [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31].
---- Running throughput benchmarks with up to 32 CPUs (higher is better) ----
                      std::mutex, 2,s:   4,140,281 msg/sec
                      std::mutex, 2,i:   4,162,695 msg/sec
                      std::mutex, 3,s:   2,243,986 msg/sec
                      std::mutex, 3,i:   2,165,539 msg/sec
                      std::mutex, 4,s:   2,122,327 msg/sec
                      std::mutex, 4,i:   2,018,964 msg/sec
                      std::mutex, 5,s:   1,015,221 msg/sec
                      std::mutex, 5,i:   1,004,061 msg/sec
                      std::mutex, 6,s:     883,595 msg/sec
                      std::mutex, 6,i:     863,903 msg/sec
                      std::mutex, 7,s:     976,265 msg/sec
                      std::mutex, 7,i:     861,944 msg/sec
                      std::mutex, 8,s:   1,043,420 msg/sec
                      std::mutex, 8,i:     834,054 msg/sec
                      std::mutex, 9,s:     854,005 msg/sec
                      std::mutex, 9,i:     814,076 msg/sec
                      std::mutex,10,s:     779,186 msg/sec
                      std::mutex,10,i:     785,283 msg/sec
                      std::mutex,11,s:     777,157 msg/sec
                      std::mutex,11,i:     800,577 msg/sec
                      std::mutex,12,s:     822,908 msg/sec
                      std::mutex,12,i:     780,916 msg/sec
                      std::mutex,13,s:     735,289 msg/sec
                      std::mutex,13,i:     711,613 msg/sec
                      std::mutex,14,s:     724,820 msg/sec
                      std::mutex,14,i:     707,784 msg/sec
                      std::mutex,15,s:     722,407 msg/sec
                      std::mutex,15,i:     708,454 msg/sec
                      std::mutex,16,s:     695,804 msg/sec
                      std::mutex,16,i:     683,301 msg/sec
                 tbb::spin_mutex, 1,s:  13,131,893 msg/sec
                 tbb::spin_mutex, 1,i:  13,218,746 msg/sec
                 tbb::spin_mutex, 2,s:   4,543,407 msg/sec
                 tbb::spin_mutex, 2,i:   4,429,534 msg/sec
                 tbb::spin_mutex, 3,s:   3,481,377 msg/sec
                 tbb::spin_mutex, 3,i:   3,440,891 msg/sec
                 tbb::spin_mutex, 4,s:   2,951,619 msg/sec
                 tbb::spin_mutex, 4,i:   2,908,374 msg/sec
                 tbb::spin_mutex, 5,s:   1,652,883 msg/sec
                 tbb::spin_mutex, 5,i:   1,680,033 msg/sec
                 tbb::spin_mutex, 6,s:   1,506,174 msg/sec
                 tbb::spin_mutex, 6,i:   1,432,596 msg/sec
                 tbb::spin_mutex, 7,s:   1,254,962 msg/sec
                 tbb::spin_mutex, 7,i:   1,370,849 msg/sec
                 tbb::spin_mutex, 8,s:   1,244,458 msg/sec
                 tbb::spin_mutex, 8,i:   1,195,709 msg/sec
                 tbb::spin_mutex, 9,s:   1,263,671 msg/sec
                 tbb::spin_mutex, 9,i:   1,269,686 msg/sec
                 tbb::spin_mutex,10,s:   1,293,542 msg/sec
                 tbb::spin_mutex,10,i:   1,235,551 msg/sec
                 tbb::spin_mutex,11,s:   1,169,492 msg/sec
                 tbb::spin_mutex,11,i:   1,198,619 msg/sec
                 tbb::spin_mutex,12,s:   1,101,380 msg/sec
                 tbb::spin_mutex,12,i:   1,033,413 msg/sec
                 tbb::spin_mutex,13,s:     963,821 msg/sec
                 tbb::spin_mutex,13,i:     949,479 msg/sec
                 tbb::spin_mutex,14,s:   1,006,215 msg/sec
                 tbb::spin_mutex,14,i:     901,201 msg/sec
                 tbb::spin_mutex,15,s:     936,843 msg/sec
                 tbb::spin_mutex,15,i:     930,429 msg/sec
                 tbb::spin_mutex,16,s:     837,414 msg/sec
                 tbb::spin_mutex,16,i:     854,301 msg/sec
   tbb::concurrent_bounded_queue, 1,s:   2,529,198 msg/sec
   tbb::concurrent_bounded_queue, 1,i:   2,555,516 msg/sec
   tbb::concurrent_bounded_queue, 2,s:   3,260,121 msg/sec
   tbb::concurrent_bounded_queue, 2,i:   3,258,185 msg/sec
   tbb::concurrent_bounded_queue, 3,s:   2,315,081 msg/sec
   tbb::concurrent_bounded_queue, 3,i:   2,344,676 msg/sec
   tbb::concurrent_bounded_queue, 4,s:   1,855,476 msg/sec
   tbb::concurrent_bounded_queue, 4,i:   1,908,486 msg/sec
   tbb::concurrent_bounded_queue, 5,s:     913,132 msg/sec
   tbb::concurrent_bounded_queue, 5,i:   1,044,615 msg/sec
   tbb::concurrent_bounded_queue, 6,s:     838,529 msg/sec
   tbb::concurrent_bounded_queue, 6,i:   1,075,759 msg/sec
   tbb::concurrent_bounded_queue, 7,s:     803,168 msg/sec
   tbb::concurrent_bounded_queue, 7,i:     905,576 msg/sec
   tbb::concurrent_bounded_queue, 8,s:     799,021 msg/sec
   tbb::concurrent_bounded_queue, 8,i:     816,027 msg/sec
   tbb::concurrent_bounded_queue, 9,s:     795,322 msg/sec
   tbb::concurrent_bounded_queue, 9,i:     832,888 msg/sec
   tbb::concurrent_bounded_queue,10,s:     807,754 msg/sec
   tbb::concurrent_bounded_queue,10,i:     851,176 msg/sec
   tbb::concurrent_bounded_queue,11,s:     774,175 msg/sec
   tbb::concurrent_bounded_queue,11,i:     817,848 msg/sec
   tbb::concurrent_bounded_queue,12,s:     755,220 msg/sec
   tbb::concurrent_bounded_queue,12,i:     821,796 msg/sec
   tbb::concurrent_bounded_queue,13,s:     731,252 msg/sec
